Vmix	Field
-4.322378E-06	-1.398000E-01
-4.217296E-06	-1.396000E-01
-4.238312E-06	-1.394000E-01
-4.119219E-06	-1.392000E-01
-4.056170E-06	-1.390000E-01
-4.154247E-06	-1.388000E-01
-4.245318E-06	-1.386000E-01
-4.007132E-06	-1.384000E-01
-3.874028E-06	-1.382000E-01
-3.874028E-06	-1.380000E-01
-3.916061E-06	-1.378000E-01
-3.803973E-06	-1.376000E-01
-3.916061E-06	-1.374000E-01
-4.126225E-06	-1.372000E-01
-4.133230E-06	-1.370000E-01
-4.112214E-06	-1.368000E-01
-4.175263E-06	-1.366000E-01
-3.979110E-06	-1.364000E-01
-3.958093E-06	-1.362000E-01
-4.077187E-06	-1.360000E-01
-4.168258E-06	-1.358000E-01
-4.273340E-06	-1.356000E-01
-4.098203E-06	-1.354000E-01
-3.965099E-06	-1.352000E-01
-4.028148E-06	-1.350000E-01
-4.063176E-06	-1.348000E-01
-4.084192E-06	-1.346000E-01
-4.014137E-06	-1.344000E-01
-4.070181E-06	-1.342000E-01
-3.909055E-06	-1.340000E-01
-4.126225E-06	-1.338000E-01
-4.091197E-06	-1.336000E-01
-3.916061E-06	-1.334000E-01
-4.147241E-06	-1.332000E-01
-4.133230E-06	-1.330000E-01
-4.056170E-06	-1.328000E-01
-4.140236E-06	-1.326000E-01
-4.203285E-06	-1.324000E-01
-4.217296E-06	-1.322000E-01
-4.217296E-06	-1.320000E-01
-4.021143E-06	-1.318000E-01
-4.133230E-06	-1.316000E-01
-3.972104E-06	-1.314000E-01
-4.028148E-06	-1.312000E-01
-3.951088E-06	-1.310000E-01
-4.189274E-06	-1.308000E-01
-4.119219E-06	-1.306000E-01
-4.378422E-06	-1.304000E-01
-4.399438E-06	-1.302000E-01
-4.497515E-06	-1.300000E-01
-4.392433E-06	-1.298000E-01
-4.280345E-06	-1.296000E-01
-4.273340E-06	-1.294000E-01
-4.133230E-06	-1.292000E-01
-4.581581E-06	-1.290000E-01
-4.735701E-06	-1.288000E-01
-4.336389E-06	-1.286000E-01
-4.147241E-06	-1.284000E-01
-3.958093E-06	-1.282000E-01
-3.951088E-06	-1.280000E-01
-3.909055E-06	-1.278000E-01
-4.028148E-06	-1.276000E-01
-3.993121E-06	-1.274000E-01
-4.105208E-06	-1.272000E-01
-3.930072E-06	-1.270000E-01
-3.937077E-06	-1.268000E-01
-4.203285E-06	-1.266000E-01
-3.944083E-06	-1.264000E-01
-4.049165E-06	-1.262000E-01
-4.035154E-06	-1.260000E-01
-4.000126E-06	-1.258000E-01
-4.056170E-06	-1.256000E-01
-4.056170E-06	-1.254000E-01
-4.238312E-06	-1.252000E-01
-4.154247E-06	-1.250000E-01
-4.063176E-06	-1.248000E-01
-4.098203E-06	-1.246000E-01
-4.245318E-06	-1.244000E-01
-4.098203E-06	-1.242000E-01
-4.028148E-06	-1.240000E-01
-3.958093E-06	-1.238000E-01
-3.958093E-06	-1.236000E-01
-3.986115E-06	-1.234000E-01
-4.203285E-06	-1.232000E-01
-4.245318E-06	-1.230000E-01
-4.154247E-06	-1.228000E-01
-4.133230E-06	-1.226000E-01
-4.455482E-06	-1.224000E-01
-4.385427E-06	-1.222000E-01
-4.308367E-06	-1.220000E-01
-4.483504E-06	-1.218000E-01
-4.266334E-06	-1.216000E-01
-4.413449E-06	-1.214000E-01
-4.378422E-06	-1.212000E-01
-4.350400E-06	-1.210000E-01
-4.280345E-06	-1.208000E-01
-4.462488E-06	-1.206000E-01
-4.511526E-06	-1.204000E-01
-4.308367E-06	-1.202000E-01
-4.266334E-06	-1.200000E-01
-4.175263E-06	-1.198000E-01
-4.056170E-06	-1.196000E-01
-4.084192E-06	-1.194000E-01
-4.238312E-06	-1.192000E-01
-4.175263E-06	-1.190000E-01
-4.112214E-06	-1.188000E-01
-4.203285E-06	-1.186000E-01
-4.133230E-06	-1.184000E-01
-4.203285E-06	-1.182000E-01
-4.217296E-06	-1.180000E-01
-3.993121E-06	-1.178000E-01
-4.196280E-06	-1.176000E-01
-4.042159E-06	-1.174000E-01
-4.196280E-06	-1.172000E-01
-4.056170E-06	-1.170000E-01
-4.112214E-06	-1.168000E-01
-3.916061E-06	-1.166000E-01
-4.140236E-06	-1.164000E-01
-4.161252E-06	-1.162000E-01
-4.245318E-06	-1.160000E-01
-4.497515E-06	-1.158000E-01
-4.462488E-06	-1.156000E-01
-4.448477E-06	-1.154000E-01
-4.378422E-06	-1.152000E-01
-4.259329E-06	-1.150000E-01
-4.420455E-06	-1.148000E-01
-4.448477E-06	-1.146000E-01
-4.287351E-06	-1.144000E-01
-4.245318E-06	-1.142000E-01
-4.056170E-06	-1.140000E-01
-4.203285E-06	-1.138000E-01
-4.035154E-06	-1.136000E-01
-4.105208E-06	-1.134000E-01
-4.161252E-06	-1.132000E-01
-4.126225E-06	-1.130000E-01
-4.077187E-06	-1.128000E-01
-4.049165E-06	-1.126000E-01
-4.084192E-06	-1.124000E-01
-4.098203E-06	-1.122000E-01
-4.091197E-06	-1.120000E-01
-4.287351E-06	-1.118000E-01
-4.539548E-06	-1.116000E-01
-4.224302E-06	-1.114000E-01
-4.364411E-06	-1.112000E-01
-4.315373E-06	-1.110000E-01
-4.210291E-06	-1.108000E-01
-4.392433E-06	-1.106000E-01
-4.497515E-06	-1.104000E-01
-4.399438E-06	-1.102000E-01
-4.154247E-06	-1.100000E-01
-4.350400E-06	-1.098000E-01
-4.392433E-06	-1.096000E-01
-4.511526E-06	-1.094000E-01
-4.189274E-06	-1.092000E-01
-4.021143E-06	-1.090000E-01
-4.252323E-06	-1.088000E-01
-4.112214E-06	-1.086000E-01
-3.944083E-06	-1.084000E-01
-4.098203E-06	-1.082000E-01
-4.056170E-06	-1.080000E-01
-4.056170E-06	-1.078000E-01
-4.098203E-06	-1.076000E-01
-3.916061E-06	-1.074000E-01
-4.105208E-06	-1.072000E-01
-4.287351E-06	-1.070000E-01
-4.308367E-06	-1.068000E-01
-4.231307E-06	-1.066000E-01
-4.175263E-06	-1.064000E-01
-4.105208E-06	-1.062000E-01
-4.357406E-06	-1.060000E-01
-4.315373E-06	-1.058000E-01
-4.308367E-06	-1.056000E-01
-4.231307E-06	-1.054000E-01
-4.203285E-06	-1.052000E-01
-4.259329E-06	-1.050000E-01
-4.245318E-06	-1.048000E-01
-4.266334E-06	-1.046000E-01
-4.210291E-06	-1.044000E-01
-4.042159E-06	-1.042000E-01
-4.056170E-06	-1.040000E-01
-4.126225E-06	-1.038000E-01
-4.014137E-06	-1.036000E-01
-4.133230E-06	-1.034000E-01
-4.273340E-06	-1.032000E-01
-4.203285E-06	-1.030000E-01
-4.091197E-06	-1.028000E-01
-4.126225E-06	-1.026000E-01
-4.259329E-06	-1.024000E-01
-4.154247E-06	-1.022000E-01
-4.140236E-06	-1.020000E-01
-4.042159E-06	-1.018000E-01
-4.056170E-06	-1.016000E-01
-3.979110E-06	-1.014000E-01
-4.070181E-06	-1.012000E-01
-4.105208E-06	-1.010000E-01
-4.203285E-06	-1.008000E-01
-4.210291E-06	-1.006000E-01
-3.937077E-06	-1.004000E-01
-3.993121E-06	-1.002000E-01
-4.035154E-06	-1.000000E-01
-4.119219E-06	-9.980000E-02
-4.007132E-06	-9.960000E-02
-4.070181E-06	-9.940000E-02
-3.874028E-06	-9.920000E-02
-3.958093E-06	-9.900000E-02
-3.944083E-06	-9.880000E-02
-4.056170E-06	-9.860000E-02
-4.119219E-06	-9.840000E-02
-4.224302E-06	-9.820000E-02
-4.119219E-06	-9.800000E-02
-4.042159E-06	-9.780000E-02
-3.972104E-06	-9.760000E-02
-4.098203E-06	-9.740000E-02
-4.070181E-06	-9.720000E-02
-3.930072E-06	-9.700000E-02
-3.909055E-06	-9.680000E-02
-4.154247E-06	-9.660000E-02
-4.112214E-06	-9.640000E-02
-4.028148E-06	-9.620000E-02
-4.021143E-06	-9.600000E-02
-3.895044E-06	-9.580000E-02
-3.937077E-06	-9.560000E-02
-4.070181E-06	-9.540000E-02
-3.951088E-06	-9.520000E-02
-4.000126E-06	-9.500000E-02
-3.944083E-06	-9.480000E-02
-4.119219E-06	-9.460000E-02
-4.098203E-06	-9.440000E-02
-3.909055E-06	-9.420000E-02
-3.909055E-06	-9.400000E-02
-3.817984E-06	-9.380000E-02
-3.782957E-06	-9.360000E-02
-3.874028E-06	-9.340000E-02
-3.888039E-06	-9.320000E-02
-3.831995E-06	-9.300000E-02
-3.930072E-06	-9.280000E-02
-3.993121E-06	-9.260000E-02
-3.930072E-06	-9.240000E-02
-4.154247E-06	-9.220000E-02
-4.266334E-06	-9.200000E-02
-4.231307E-06	-9.180000E-02
-4.175263E-06	-9.160000E-02
-4.231307E-06	-9.140000E-02
-4.084192E-06	-9.120000E-02
-4.035154E-06	-9.100000E-02
-4.175263E-06	-9.080000E-02
-4.000126E-06	-9.060000E-02
-3.972104E-06	-9.040000E-02
-3.803973E-06	-9.020000E-02
-3.846006E-06	-9.000000E-02
-3.754935E-06	-8.980000E-02
-3.803973E-06	-8.960000E-02
-3.874028E-06	-8.940000E-02
-3.719907E-06	-8.920000E-02
-3.663864E-06	-8.900000E-02
-3.670869E-06	-8.880000E-02
-3.761940E-06	-8.860000E-02
-3.628836E-06	-8.840000E-02
-3.537765E-06	-8.820000E-02
-3.586803E-06	-8.800000E-02
-3.572792E-06	-8.780000E-02
-3.846006E-06	-8.760000E-02
-3.684880E-06	-8.740000E-02
-3.523754E-06	-8.720000E-02
-3.663864E-06	-8.700000E-02
-3.916061E-06	-8.680000E-02
-3.817984E-06	-8.660000E-02
-3.474716E-06	-8.640000E-02
-3.635842E-06	-8.620000E-02
